Action,Timestamp
Check Employees,2020-04-26 00:07:21.072
Check Employees,2020-04-26 00:11:19.377
Initializing departments,2020-04-26 00:19:54.436
Initializing departments,2020-04-26 00:19:54.455
Initializing departments,2020-04-26 00:20:40.452
Initializing departments,2020-04-26 00:20:40.472
Initializing jobs,2020-04-26 00:34:57.914
Initializing departments,2020-04-26 00:34:57.925
Initializing new employees,2020-04-26 00:35:34.119
Initializing new employees,2020-05-11 08:38:53.31
Initializing new employees,2020-05-11 08:56:50.664
Initializing new employees,2020-05-11 08:59:50.61
Initializing new employees,2020-05-12 01:30:46.036
Initializing new employees,2020-05-12 01:33:22.635
Initializing new employees,2020-05-12 01:43:11.802
Initializing new employees,2020-05-12 01:46:49.958
Initializing new employees,2020-05-12 01:48:05.174
Initializing new employees,2020-05-12 02:06:51.414
Initializing new employees,2020-05-12 02:13:59.174
Initializing new employees,2020-05-12 02:16:28.08
Initializing new employees,2020-05-12 02:17:42.324
Initializing new employees,2020-05-12 02:21:02.289
Initializing new employees,2020-05-12 02:22:42.013
Initializing new employees,2020-05-12 02:33:09.924
Initializing new employees,2020-05-12 02:34:26.648
Initializing new employees,2020-05-12 02:38:56.468
Initializing new employees,2020-05-12 02:52:42.859
Initializing new employees,2020-05-12 02:55:23.704
Initializing new employees,2020-05-12 02:58:39.551
Initializing new employees,2020-05-12 03:06:50.112
Initializing new employees,2020-05-12 03:19:08.455
Initializing new employees,2020-05-12 03:22:02.618
Initializing new employees,2020-05-12 03:25:04.07
Initializing new employees,2020-05-12 03:29:19.93
Initializing new employees,2020-05-12 03:31:17.67
Initializing new employees,2020-05-12 03:35:32.122
Initializing new employees,2020-05-12 03:37:46.586
Initializing new employees,2020-05-12 03:39:56.222
Initializing new employees,2020-05-12 03:42:04.162
Initializing new employees,2020-05-12 03:45:34.124
Initializing new employees,2020-05-12 03:46:34.933
Initializing new employees,2020-05-12 03:47:46.15
Initializing new employees,2020-05-12 03:50:01.687
Initializing new employees,2020-05-12 03:55:29.213
Initializing new employees,2020-05-12 04:18:28.541
Initializing new employees,2020-05-20 20:39:06.248
Initializing new employees,2020-05-20 20:41:54.765
Initializing new employees,2020-05-20 20:44:49.918
Initializing new employees,2020-05-20 21:00:18.137
Initializing new employees,2020-05-20 21:02:56.06
Initializing new employees,2020-05-20 21:08:38.18
Initializing new employees,2020-05-20 21:44:17.625
Initializing new employees,2020-05-20 22:01:44.215
Initializing new employees,2020-05-25 09:46:53.986
Initializing new employees,2020-05-31 09:15:01.965
Initializing new employees,2020-05-31 10:47:56.591
Initializing new employees,2020-05-31 10:54:40.569
Initializing new employees,2020-05-31 11:54:44.907
Initializing new employees,2020-05-31 12:37:09.081
Initializing new employees,2020-05-31 12:52:18.644
Initializing new employees,2020-05-31 12:56:53.922
Initializing new employees,2020-05-31 16:16:18.61
